applicant_id,job_id,job_title,application_date,status,hire_date,source,recruiter,department
A001,J500,HR Specialist,2025-03-18,Hired,2025-08-10,GovernmentJobs,Mark Baker,HR
A002,J501,Service Rep,2025-05-13,Rejected,,Employee Referral,Terry Williams,Customer Service
A003,J502,HR Manager,2025-07-09,Screening,,City Portal,Donald Smith,HR
A004,J503,Systems Engineer,2025-08-31,Rejected,,GovernmentJobs,William Martin,Engineering
A005,J504,Water Quality Analyst,2025-04-25,Rejected,,Employee Referral,Jessica Smith,Water Operations
A006,J505,Project Engineer,2024-12-04,Screening,,Indeed,Melissa Hernandez,Engineering
A007,J506,Financial Analyst,2024-11-18,Offer Extended,,Career Fair,Lauren Hernandez,Finance
A008,J507,Systems Engineer,2024-12-24,Screening,,GovernmentJobs,Jacob Fitzpatrick,Engineering
A009,J508,Water Quality Analyst,2025-10-05,Screening,,LinkedIn,Hunter Fleming,Water Operations
A010,J509,Water Quality Analyst,2025-07-22,Interviewing,,Employee Referral,Richard Henson,Water Operations
A011,J510,CSR Lead,2025-04-11,Offer Extended,,Employee Referral,Nicole Frost,Customer Service
A012,J511,Civil Engineer,2025-02-04,Interviewing,,GovernmentJobs,Vanessa Cochran,Infrastructure
A013,J512,Civil Engineer,2025-10-13,Interviewing,,Career Fair,Christopher Middleton,Infrastructure
A014,J513,HR Manager,2025-09-04,Screening,,Career Fair,Rebekah Shields,HR
A015,J514,Project Engineer,2025-02-09,Hired,2025-09-15,Indeed,Richard Rodriguez,Engineering
A016,J515,Project Engineer,2025-10-09,Interviewing,,Indeed,John Gonzalez,Engineering
A017,J516,Accountant,2025-05-02,Hired,2025-10-27,Indeed,Robert Savage,Finance
A018,J517,Civil Engineer,2024-11-14,Hired,2025-01-30,Employee Referral,Jennifer Ramirez,Infrastructure
A019,J518,Civil Engineer,2024-12-01,Screening,,Indeed,Diana May,Infrastructure
A020,J519,Project Engineer,2025-04-09,Offer Extended,,Employee Referral,Sarah Rivera,Engineering
A021,J520,Accountant,2024-12-19,Hired,2024-11-15,LinkedIn,Debbie Carpenter,Finance
A022,J521,Engineer I,2025-02-16,Interviewing,,Career Fair,Kyle Reed,Infrastructure
A023,J522,CSR Lead,2025-03-06,Hired,2025-09-06,GovernmentJobs,William Wilson,Customer Service
A024,J523,Accountant,2025-10-20,Offer Extended,,Indeed,Dawn Fletcher,Finance
A025,J524,Civil Engineer,2024-11-05,Screening,,GovernmentJobs,Renee Mcdaniel,Infrastructure
A026,J525,CSR Lead,2025-11-05,Offer Extended,,GovernmentJobs,Megan Diaz,Customer Service
A027,J526,Project Engineer,2024-12-02,Screening,,Employee Referral,Tammie Hanson,Engineering
A028,J527,Budget Officer,2025-07-20,Offer Extended,,Employee Referral,Michelle Evans,Finance
A029,J528,Operations Supervisor,2025-03-05,Rejected,,GovernmentJobs,Erika Terry,Water Operations
A030,J529,Civil Engineer,2025-06-08,Interviewing,,City Portal,Jason Bentley,Infrastructure
A031,J530,Engineer I,2025-07-26,Rejected,,Indeed,Carrie Carroll,Infrastructure
A032,J531,Water Quality Analyst,2025-04-11,Rejected,,GovernmentJobs,April Mitchell,Water Operations
A033,J532,Recruiter,2025-04-20,Interviewing,,Indeed,Lisa Morris,HR
A034,J533,Civil Engineer,2025-04-25,Interviewing,,Career Fair,Daniel Kennedy,Infrastructure
A035,J534,Accountant,2025-10-20,Offer Extended,,Employee Referral,Nancy Hopkins,Finance
A036,J535,Water Quality Analyst,2025-02-23,Offer Extended,,LinkedIn,Mackenzie Rogers,Water Operations
A037,J536,Financial Analyst,2025-09-18,Offer Extended,,GovernmentJobs,Cynthia Collins,Finance
A038,J537,Systems Engineer,2025-09-14,Screening,,Employee Referral,Alexander Sanchez,Engineering
A039,J538,Engineer I,2025-05-08,Rejected,,City Portal,Patricia Gibson,Infrastructure
A040,J539,Engineer II,2025-10-15,Screening,,Career Fair,Cheyenne Horton,Infrastructure
A041,J540,Systems Engineer,2025-05-15,Offer Extended,,Indeed,Charles Watts,Engineering
