position_id,job_title,department,budgeted_fte,filled_fte,vacancy_status,fund_source,last_updated
P120,CSR Lead,Customer Service,1.0,1.5,Filled,Grant Fund,2025-10-29
P121,Service Rep,Customer Service,3.0,3.0,1 Vacancy,Capital Fund,2025-10-18
P122,CSR Lead,Customer Service,2.0,1.0,2 Vacancies,General Fund,2025-09-22
P123,Budget Officer,Finance,1.5,2.0,2 Vacancies,General Fund,2025-08-15
P124,Accountant,Finance,1.5,1.0,Filled,General Fund,2025-10-29
P125,Engineer II,Infrastructure,3.0,2.0,Filled,Utility Fund,2025-08-07
P126,Water Quality Analyst,Water Operations,3.0,1.0,2 Vacancies,Utility Fund,2025-09-30
P127,Operations Supervisor,Water Operations,3.0,1.0,2 Vacancies,Utility Fund,2025-09-02
P128,Systems Engineer,Engineering,2.0,1.5,Filled,General Fund,2025-09-20
P129,Financial Analyst,Finance,2.0,3.0,Filled,Grant Fund,2025-09-21
P130,Project Engineer,Engineering,3.0,2.0,2 Vacancies,Grant Fund,2025-09-17
P131,Engineer I,Infrastructure,1.0,3.0,2 Vacancies,Capital Fund,2025-09-08
P132,CSR Lead,Customer Service,1.0,1.0,Filled,General Fund,2025-08-23
P133,Project Engineer,Engineering,1.0,1.5,1 Vacancy,Grant Fund,2025-08-10
P134,Operations Supervisor,Water Operations,3.0,3.0,Filled,Grant Fund,2025-08-30
P135,Water Quality Analyst,Water Operations,2.0,2.0,2 Vacancies,General Fund,2025-11-05
P136,Financial Analyst,Finance,3.0,3.0,1 Vacancy,Grant Fund,2025-10-28
P137,Service Rep,Customer Service,3.0,1.0,1 Vacancy,Capital Fund,2025-09-21
P138,Operations Supervisor,Water Operations,3.0,1.0,2 Vacancies,Grant Fund,2025-08-17
P139,Engineer I,Infrastructure,1.5,2.0,2 Vacancies,Grant Fund,2025-10-24
P140,Project Engineer,Engineering,1.0,1.5,1 Vacancy,Utility Fund,2025-08-12
P141,Water Quality Analyst,Water Operations,3.0,1.0,Filled,Utility Fund,2025-09-13
P142,Systems Engineer,Engineering,2.0,1.0,2 Vacancies,Grant Fund,2025-09-22
P143,Recruiter,HR,1.0,3.0,Filled,Utility Fund,2025-08-13
P144,Civil Engineer,Infrastructure,2.0,2.0,1 Vacancy,Grant Fund,2025-10-01
P145,Engineer I,Infrastructure,3.0,1.5,1 Vacancy,Utility Fund,2025-10-06
P146,Service Rep,Customer Service,1.0,2.0,1 Vacancy,Capital Fund,2025-10-11
P147,CSR Lead,Customer Service,1.0,2.0,2 Vacancies,Capital Fund,2025-08-11
P148,CSR Lead,Customer Service,1.5,3.0,2 Vacancies,Grant Fund,2025-08-20
P149,Water Quality Analyst,Water Operations,3.0,3.0,1 Vacancy,Utility Fund,2025-08-20
P150,Systems Engineer,Engineering,3.0,1.5,1 Vacancy,General Fund,2025-10-23
P151,Water Quality Analyst,Water Operations,3.0,3.0,2 Vacancies,Utility Fund,2025-09-29
P152,Engineer I,Infrastructure,1.5,2.0,Filled,Grant Fund,2025-09-04
P153,HR Specialist,HR,1.0,1.5,1 Vacancy,Utility Fund,2025-08-14
